person_id,year,id_s_fr,age,female,perf_a,perf_b,perf_c,status,avg_absences
2,2012,3000010175.0,48.0,1.0,,,,Active,7.949225900000001
2,2013,,49.0,1.0,-0.291035185,-0.113625935,-0.19329938,Inactive,8.6515121
2,2014,,50.0,1.0,,,,Inactive,8.8641529
4,2012,,53.0,1.0,,,,Active,8.8062019
4,2013,,54.0,1.0,,,,Active,8.8760214
4,2014,,55.0,1.0,,,,Active,8.6864157
4,2015,3000010364.0,56.0,1.0,,,,Active,1.7244598999999998
35,2012,3000010000.0,50.0,1.0,,,,Active,8.1700554
35,2013,3000010288.0,51.0,1.0,,,,Active,8.4848938
35,2014,3000010288.0,52.0,1.0,,,,Active,8.781502699999999
35,2015,3000010288.0,53.0,1.0,,,,Active,1.877923
38,2012,3000010420.0,39.0,1.0,,,,Active,8.0803175
38,2013,3000010000.0,40.0,1.0,,,,Active,8.8928032
38,2014,,41.0,1.0,,,,Active,9.0017462
38,2015,,42.0,1.0,,,,Active,1.3926914
115,2012,3000010179.0,27.0,1.0,,,,Active,8.1873846
115,2013,3000010311.0,28.0,1.0,,,,,8.1633701
115,2014,3000010311.0,29.0,1.0,,,,,8.6445208
138,2012,3000010318.0,27.0,0.0,,,,,8.694803199999999
138,2013,3000010318.0,28.0,0.0,,,,,8.404555300000002
138,2014,3000010318.0,29.0,0.0,,,,,8.1761942
416,2012,3000010136.0,73.0,1.0,,,,Active,8.6517639
416,2013,3000010136.0,74.0,1.0,-0.039959093,0.20605038899999997,0.006362673,Active,8.357795699999999
416,2014,3000010136.0,75.0,1.0,-1.6806532440000002,,-1.8250755,,8.257317500000001
816,2012,3000010362.0,72.0,1.0,,,,,8.6138849
816,2013,3000010362.0,72.0,1.0,,,,,8.205781
816,2014,3000010362.0,73.0,1.0,,,,,8.9338169
1018,2012,3000010291.0,71.0,1.0,,,,,8.8633261
1018,2013,3000010291.0,71.0,1.0,,,,,8.6059666
1018,2014,3000010291.0,72.0,1.0,,,,,8.958209
1966,2012,3000010352.0,52.0,0.0,,,,Active,7.9587131
1966,2013,3000010352.0,53.0,0.0,,,,Active,8.7642727
1966,2014,3000010352.0,54.0,0.0,0.590373444,,0.20185511,Active,8.0864277
1966,2015,3000010352.0,55.0,0.0,0.103809645,,0.37302366,Active,1.6014555
2712,2012,3000010160.0,69.0,1.0,,,,Active,8.5536661
2951,2012,3000010291.0,68.0,0.0,,,,Active,8.4073553
2951,2013,3000010291.0,69.0,0.0,0.163663886,,0.16366388,Active,8.788084
2951,2014,3000010291.0,70.0,0.0,,,,,8.231511099999999
3813,2012,3000010021.0,66.0,1.0,,,,Active,8.2779675
3813,2013,,67.0,1.0,,,,Active,8.506332400000002
3813,2014,,68.0,1.0,,,,,8.086496400000001
3834,2012,3000010352.0,47.0,0.0,,,,Active,7.926394900000001
3834,2013,3000010352.0,48.0,0.0,-0.555429332,,-0.55542934,Active,8.483539599999999
3834,2014,3000010352.0,49.0,0.0,-0.1012015,,0.22923191,Active,8.0817823
4257,2012,3000010282.0,69.0,1.0,,,,Active,8.491504699999998
4257,2013,3000010282.0,70.0,1.0,0.8321530359999999,,0.83215302,,8.720555300000001
4257,2014,3000010282.0,71.0,1.0,,,,,8.3382215
4500,2012,3000010110.0,65.0,1.0,,,,Active,8.118306200000001
4500,2013,3000010110.0,67.0,1.0,0.055985886,,0.055985887,,8.187051799999999
4500,2014,3000010110.0,67.0,1.0,,,,,8.742969500000001
4768,2012,3000010110.0,66.0,0.0,,,,Active,8.614186300000002
4768,2013,3000010110.0,67.0,0.0,0.664059208,2.632903515,1.7649471,,8.5008726
4768,2014,3000010110.0,68.0,0.0,,,,,8.608264
5216,2012,3000010362.0,72.0,0.0,,,,Active,8.809448199999999
5216,2013,3000010362.0,73.0,0.0,-1.6178595009999999,,-1.6178595,Active,8.707340199999999
5216,2014,3000010362.0,74.0,0.0,-1.5736828230000002,,-0.90415645,,8.1397219
5626,2012,3000010364.0,65.0,1.0,,,,Active,8.8788261
5626,2013,3000010364.0,66.0,1.0,,,,Active,8.8535519
5626,2014,3000010364.0,68.0,1.0,,,,,8.8494873
5696,2012,3000010352.0,68.0,0.0,,,,Active,8.8504505
5696,2013,,70.0,0.0,,,,,8.818038900000001
5696,2014,,70.0,0.0,,,,,8.598074
5895,2012,3000010130.0,66.0,1.0,,,,Active,8.028616900000001
5895,2013,3000010130.0,67.0,1.0,-0.646465375,,-0.5484283,Active,8.6669159
5895,2014,3000010130.0,68.0,1.0,1.5499479619999998,,0.93621004,Active,8.041992200000001
5895,2015,3000010130.0,69.0,1.0,1.78421684,,1.7842169,Active,1.161661
6107,2012,3000010167.0,66.0,1.0,,,,Active,7.990742699999999
6107,2013,3000010167.0,67.0,1.0,0.37105637,,0.37105638,,8.2349596
6107,2014,3000010167.0,68.0,1.0,,,,,8.099245100000001
6120,2012,3000010140.0,66.0,1.0,,,,,8.8806534
6120,2013,3000010140.0,67.0,1.0,,,,,8.399683999999999
6120,2014,3000010140.0,68.0,1.0,,,,,8.8986664
6316,2012,,65.0,1.0,,,,Active,8.4529543
6316,2013,,66.0,1.0,,,,,8.7980862
6316,2014,,67.0,1.0,,,,,8.0740347
6395,2012,3000010289.0,65.0,1.0,,,,Active,8.2921219
6395,2013,3000010289.0,66.0,1.0,-0.656551161,,-0.65655112,Active,8.823457699999999
6405,2012,3000010226.0,65.0,1.0,,,,Active,8.3625689
6886,2012,3000010105.0,65.0,1.0,,,,Active,8.6165409
6886,2013,3000010105.0,66.0,1.0,-1.425958489,1.058154292,0.16838868,,8.7723188
6886,2014,3000010105.0,67.0,1.0,,,,,8.8427944
7262,2012,3000010121.0,65.0,1.0,,,,Active,8.8203459
7262,2013,3000010121.0,66.0,1.0,2.14151785,,1.091231,,7.962216400000001
7262,2014,3000010121.0,67.0,1.0,,,,,9.003837599999999
7653,2012,3000010160.0,65.0,1.0,,,,Active,8.6369467
7653,2013,3000010160.0,66.0,1.0,0.019229515,-0.331640682,-0.16559103,Active,8.6825829
7653,2014,3000010160.0,67.0,1.0,0.042146870999999995,,0.44732395,Active,8.1025572
7715,2012,3000010291.0,66.0,0.0,,,,Active,8.607330300000001
7715,2013,3000010291.0,67.0,0.0,-1.894131662,,-1.8941317,Active,8.2742558
7715,2014,3000010291.0,68.0,0.0,-1.183681395,,-1.1836814,,8.4306612
7912,2012,3000010130.0,65.0,1.0,,,,Active,8.280282000000001
7912,2013,3000010132.0,66.0,1.0,-0.19997646800000002,,-0.19997646,Active,7.929566900000001
7912,2014,3000010132.0,67.0,1.0,,,,Active,8.0368233
7912,2015,3000010132.0,68.0,1.0,1.8291711730000002,,1.8291712,Active,1.2143898000000002
8019,2012,3000010136.0,65.0,1.0,,,,,8.672377599999999
8019,2013,3000010136.0,66.0,1.0,,,,,8.4342937
8019,2014,3000010136.0,67.0,1.0,,,,,8.0500183
8096,2012,3000010362.0,65.0,1.0,,,,Active,7.9705997
