,age,age,age,age,avg_absences,avg_absences,avg_absences,avg_absences,avg_absences,female,female,female,female,id_s_fr,id_s_fr,id_s_fr,id_s_fr,perf_a,perf_a,perf_a,perf_a,perf_a,perf_b,perf_b,perf_b,perf_b,perf_c,perf_c,perf_c,perf_c,perf_c
year,2012,2013,2014,2015,2012,2013,2014,2015,2016,2012,2013,2014,2015,2012,2013,2014,2015,2013,2014,2015,2016,2017,2013,2014,2015,2016,2013,2014,2015,2016,2017
person_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48.0,49.0,50.0,,7.949225900000001,8.6515121,8.8641529,,,1.0,1.0,1.0,,3000010175.0,,,,-0.291035185,,,,,-0.113625935,,,,-0.19329938,,,,
4,53.0,54.0,55.0,56.0,8.8062019,8.8760214,8.6864157,1.7244598999999998,0.59160858,1.0,1.0,1.0,1.0,,,,3000010364.0,,,,,,,,,,,,,,
8,,,,,8.6702299,8.702648199999999,8.9571171,1.8396158,0.21049714,,,,,,,,,,,,,,,,,,,,,,
16,,,,,8.1827984,8.0515928,8.7156429,1.6188595,0.18012553,,,,,,,,,,,,,,,,,,,,,,
22,,,,,8.323642699999999,8.4861298,8.2097158,1.1663259,0.74141753,,,,,,,,,,,,,,,,,,,,,,
30,,,,,8.055297900000001,8.6630487,8.2090626,,,,,,,,,,,-0.153956815,,,,,,,,,-0.15395682,,,,
35,50.0,51.0,52.0,53.0,8.1700554,8.4848938,8.781502699999999,1.877923,0.56144363,1.0,1.0,1.0,1.0,3000010000.0,3000010288.0,3000010288.0,3000010288.0,,,,,,,,,,,,,,
38,39.0,40.0,41.0,42.0,8.0803175,8.8928032,9.0017462,1.3926914,0.31382936,1.0,1.0,1.0,1.0,3000010420.0,3000010000.0,,,,,,,,,,,,,,,,
115,27.0,28.0,29.0,,8.1873846,8.1633701,8.6445208,,,1.0,1.0,1.0,,3000010179.0,3000010311.0,3000010311.0,,,,,,,,,,,,,,,
138,27.0,28.0,29.0,,8.694803199999999,8.404555300000002,8.1761942,,,0.0,0.0,0.0,,3000010318.0,3000010318.0,3000010318.0,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,8.095583900000001,8.530862800000001,8.9011421,1.1193329,0.05007067,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,8.720562,8.4012671,8.516095199999999,1.8690413,0.75493169,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,8.2629843,8.2348557,8.1390057,1.6117176000000002,0.54338509,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,7.955100099999999,8.111208900000001,8.1209784,1.3169128,0.23338281,,,,,,,,,,,,,,,,,,,,,,
402,,,,,8.0122356,8.4086914,8.97299,2.0315535,0.62662667,,,,,,,,,,,,,,,,,,,,,,
405,,,,,8.404002199999999,8.7049494,8.1238537,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,7.9950228,8.1923037,8.1722469,1.4267473999999998,0.047454163,,,,,,,,,,,,,,,,,,,,,,
416,73.0,74.0,75.0,,8.6517639,8.357795699999999,8.257317500000001,,,1.0,1.0,1.0,,3000010136.0,3000010136.0,3000010136.0,,-0.039959093,-1.6806532440000002,,,,0.206050389,,,,0.006362673,-1.8250755,,,
421,,,,,8.589279199999998,8.363349000000001,8.731758099999999,1.9744239,0.56916195,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,,,,,8.6011,8.168600099999999,9.0339975,1.3152579,0.57471371,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,,,,,8.1129589,8.655194300000002,8.5670366,1.4965982,0.87623495,,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,,,,,8.4098644,8.619362800000001,8.2066822,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
